Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,4,2,100,1,1,3,8,1100,5,1,2,7,1,3,1,4,3,2,1,0,0,1,14,13,1,1,0
1,3,2,390,1,2,1,7,280,1,2,,3,1,1,4,6,2,0,0,1,0,1,8,7,2,2,0
1,4,2,140,1,2,1,8,1200,1,1,2,1,2,1,4,6,5,0,0,0,0,3,1,1,2,2,0
1,3,2,50,1,2,1,6,510,9,2,,,1,4,4,5,,0,0,1,1,,,,3,2,1
1,3,2,40,1,1,1,7,480,5,1,3,1,1,1,3,4,5,3,1,0,0,2,4,1,2,1,0
1,4,2,350,1,2,1,10,500,3,1,3,1,1,1,2,5,5,3,1,0,0,2,2,1,2,1,1
1,2,3,70,1,2,1,4,100,5,2,,7,1,3,4,5,2,0,0,1,0,2,14,13,3,1,0
1,3,2,130,1,2,1,4,290,3,2,,4,4,1,4,4,2,0,0,2,2,0,9,9,2,2,0
1,2,2,50,1,2,3,5,400,7,1,3,7,1,3,2,1,2,1,1,0,0,1,13,13,1,2,0
1,4,2,100,1,2,1,9,2000,5,1,2,1,4,1,4,5,2,0,0,2,2,2,1,1,3,2,1
1,2,3,50,1,1,3,3,1,3,1,3,4,3,1,4,3,2,0,0,2,2,0,9,9,0,2,0
1,3,3,70,1,1,3,5,630,7,1,3,7,1,3,4,4,2,0,0,0,0,1,13,13,2,1,0
2,4,2,40,1,2,7,7,1200,11,1,3,1,1,1,4,4,2,0,0,0,0,2,1,1,4,1,1
2,2,1,70,1,2,6,3,2,4,1,3,8,1,3,4,5,2,0,0,1,1,0,15,15,2,1,0
1,2,2,50,1,2,1,5,500,1,1,3,,1,5,4,5,,0,0,1,0,,,,2,1,0
1,3,2,100,1,2,1,5,1200,2,1,3,1,2,1,4,6,2,0,0,0,0,2,1,1,4,1,0
1,7,2,160,1,2,9,9,1800,11,1,3,1,2,1,2,4,4,1,1,0,0,3,1,1,3,1,0
3,4,2,150,1,2,2,10,2,2,2,,2,1,1,4,7,2,0,0,2,2,1,8,3,2,1,0
1,3,2,130,1,2,1,5,50,7,1,3,3,1,1,4,4,2,0,0,0,0,0,9,8,2,2,0
1,3,2,90,3,,1,6,370,3,2,,4,1,1,4,5,3,0,0,2,2,0,9,9,2,,0
1,2,2,50,1,1,1,5,500,3,2,,8,1,3,4,5,3,0,0,1,1,2,15,15,3,1,0
2,2,3,50,3,,1,5,480,6,1,3,,1,6,4,6,,0,0,1,1,,,,1,,0
