Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,3,2,90,1,2,1,7,600,6,1,3,2,1,1,2,3,3,1,1,0,0,1,3,3,3,2,0
1,3,2,70,1,2,2,4,720,6,2,,1,2,1,2,4,4,1,1,2,1,2,1,1,2,1,0
1,4,2,270,1,2,1,6,1500,3,2,,2,1,1,4,5,2,0,0,0,0,1,7,3,4,1,0
1,3,2,130,1,2,1,5,840,6,1,3,1,2,1,4,5,4,0,0,0,0,3,5,5,3,2,0
1,3,2,110,1,2,6,8,860,3,1,3,1,1,1,4,4,2,0,0,0,0,2,4,1,3,1,0
2,3,2,150,1,2,1,6,2,6,1,3,3,1,1,4,6,2,0,0,2,2,1,6,7,5,1,0
1,3,2,150,1,2,1,8,1000,6,2,,3,1,1,4,7,2,0,0,0,0,1,7,7,3,1,1
1,3,2,30,1,1,1,4,1400,4,2,,,1,4,4,7,,0,0,1,1,,,,4,1,0
1,3,2,160,3,,1,6,510,3,2,,,1,4,4,3,,0,0,1,0,,,,1,,0
1,3,2,50,1,2,1,6,3000,2,1,2,2,1,1,4,5,3,0,0,2,1,2,7,3,3,2,0
1,4,2,30,1,2,1,6,1100,5,1,2,1,2,1,2,3,4,1,1,0,0,2,5,1,4,2,0
1,4,2,450,1,2,1,10,1500,8,1,1,1,1,1,3,5,5,3,1,0,0,2,1,1,3,1,1
1,3,2,180,1,2,3,11,200,10,1,3,3,1,1,4,1,2,0,0,0,0,1,3,7,3,1,1
1,3,3,50,3,,1,5,890,1,1,3,,2,4,4,7,,0,0,1,1,,,,0,,0
1,4,2,120,1,2,3,5,610,3,1,3,1,4,1,4,5,3,0,0,0,0,3,1,1,2,1,0
1,2,2,40,1,2,1,5,220,1,1,1,7,1,3,2,1,2,1,1,0,0,1,13,13,1,1,0
1,3,2,200,1,2,1,6,1800,1,1,3,2,2,1,2,4,6,2,1,1,1,1,3,3,4,1,0
1,4,2,50,1,2,1,14,720,8,1,3,2,2,1,2,5,4,2,1,0,0,1,3,3,5,2,0
1,2,2,60,1,2,1,5,490,2,2,,4,1,1,4,7,2,0,0,2,2,1,8,9,2,2,0
1,4,2,640,1,2,1,5,1200,5,1,2,1,5,1,2,5,5,3,1,0,0,2,1,1,3,1,1
1,3,2,20,1,2,1,5,370,5,1,3,,3,4,4,3,,0,0,0,0,,,,1,1,0
1,3,2,90,1,2,1,5,800,2,1,2,1,1,1,4,1,2,0,0,0,0,2,1,1,2,2,0
2,3,1,80,1,2,2,8,1000,6,1,3,,1,6,4,6,,0,0,1,0,,,,2,1,0
1,0,1,20,1,2,2,1,30,4,1,3,7,2,3,4,2,2,0,0,0,0,2,13,13,2,1,0
1,5,2,190,1,2,9,8,1400,7,1,3,5,2,2,2,4,2,1,1,0,0,1,10,10,2,1,0
1,3,2,40,1,2,3,5,360,5,2,,2,4,1,2,5,3,1,1,2,1,1,3,3,2,2,0
1,4,2,200,1,2,1,14,3000,1,2,,3,1,1,4,6,2,0,0,1,0,1,7,7,2,1,0
1,3,2,130,1,2,1,6,1700,3,1,3,4,4,1,4,7,2,0,0,1,1,0,9,9,3,1,0
1,3,2,30,1,2,1,5,360,11,1,3,1,2,1,2,3,4,2,1,0,0,2,1,1,2,1,0
1,3,2,120,1,2,1,6,50,3,1,3,7,1,3,4,7,2,0,0,1,1,2,13,13,2,1,0
2,3,2,480,1,2,2,7,600,2,2,,6,1,2,4,5,3,0,0,1,1,1,12,12,1,2,0
1,3,2,140,1,1,1,5,720,7,1,3,,1,1,4,4,2,0,0,0,0,2,2,,2,1,0
3,3,2,640,1,2,2,11,4100,6,1,3,5,1,2,2,6,3,1,1,1,0,2,10,10,5,1,1
1,5,2,290,1,2,1,14,1200,8,1,3,5,1,2,4,5,3,0,0,0,0,3,10,10,6,1,0
1,4,2,80,1,2,1,7,170,5,2,,,1,4,4,5,,0,0,1,1,,,,1,2,0
1,3,2,150,1,2,1,6,600,3,1,3,1,1,1,3,5,7,4,1,0,0,3,1,1,4,2,0
1,5,2,140,1,2,1,7,1400,8,2,,2,1,1,3,4,4,2,1,0,0,1,7,3,2,1,0
1,4,2,110,1,2,3,6,1200,7,1,3,8,1,3,4,4,2,0,0,1,1,1,15,15,1,2,0
2,2,1,100,1,2,3,8,980,3,1,3,1,2,1,2,5,4,2,1,0,0,2,1,1,3,2,0
1,2,2,20,1,1,1,5,750,5,2,,,1,6,4,5,,0,0,1,1,,,,1,1,0
1,2,2,40,1,2,1,7,1300,1,2,,,2,4,4,3,,0,0,0,0,,,,1,2,0
1,4,2,200,1,2,3,6,420,6,2,,1,4,1,1,3,5,1,1,0,0,3,1,1,2,1,1
1,4,2,300,1,2,1,5,1200,18,1,3,1,1,1,1,1,4,2,1,0,0,2,1,1,3,1,0
3,5,2,100,1,2,1,10,600,3,1,3,1,2,1,2,5,5,1,1,0,0,3,1,1,3,1,0
2,2,1,110,3,,1,4,1,5,2,,2,2,1,1,1,3,1,1,0,0,1,3,3,2,,0
2,3,2,150,1,2,2,6,500,7,1,3,4,1,1,4,5,2,0,0,2,2,0,9,9,1,2,0
1,3,2,40,3,,1,9,940,1,2,,,1,6,4,7,,0,0,1,1,,,,0,,0
1,2,2,160,1,1,1,4,1600,3,1,3,2,1,1,3,3,4,2,1,0,0,1,8,3,1,1,0
1,3,2,90,1,2,1,5,70,3,1,3,1,1,1,4,5,4,0,0,0,0,3,1,1,4,2,0
1,3,2,150,2,,1,5,870,7,1,2,1,2,1,2,6,4,1,1,0,0,2,1,1,4,,0
1,4,2,100,1,2,5,7,110,9,1,3,,1,4,4,5,,0,0,1,0,,,,1,1,0
1,3,2,60,1,2,1,5,580,3,1,3,7,1,3,4,5,2,0,0,2,2,1,13,13,3,2,0
1,3,2,120,1,2,1,5,2,4,1,1,1,1,1,1,1,3,1,1,0,0,2,1,1,2,2,0
1,4,2,90,1,2,1,7,760,8,2,,4,3,1,4,5,2,0,0,2,2,0,9,9,1,1,0
1,3,2,30,1,1,1,5,450,4,1,3,2,1,1,2,3,4,2,1,0,0,1,7,3,0,1,0
1,3,2,130,3,,1,5,1200,1,1,3,,1,6,4,7,,0,0,1,1,,,,2,,0
1,2,2,40,1,2,1,4,650,3,2,,2,2,1,4,7,4,0,0,1,0,3,3,3,4,1,0
1,3,2,100,1,2,1,11,1200,2,2,,,1,6,4,7,,0,0,1,1,,,,1,1,1
2,3,2,20,1,2,1,5,2000,3,1,3,,4,4,4,7,,0,0,1,1,,,,1,2,0
1,3,2,100,2,,3,5,1,5,1,3,7,1,3,4,5,2,0,0,1,1,1,13,13,1,,0
1,3,2,180,1,1,1,5,1600,10,1,3,1,1,1,2,4,3,1,1,0,0,2,1,1,2,1,1
1,4,2,360,1,1,1,7,1200,5,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
1,3,2,150,1,2,1,7,480,6,2,,4,1,1,4,6,2,0,0,2,2,0,9,9,1,1,0
1,3,2,120,1,2,3,6,750,3,2,,2,2,1,3,3,5,3,1,0,0,1,3,3,2,1,0
1,3,1,30,1,2,1,5,240,7,2,,,4,1,4,6,2,0,0,2,2,0,9,,1,2,0
1,3,2,2,1,2,1,7,1400,8,1,2,1,5,1,4,5,2,0,0,0,0,2,2,1,2,2,0
1,3,2,50,1,2,1,5,460,4,2,,2,4,1,4,7,4,0,0,0,0,2,7,3,5,1,0
1,5,2,220,1,1,1,10,900,6,1,3,1,1,1,4,5,2,0,0,0,0,2,1,1,2,1,1
1,3,2,90,1,2,1,6,550,4,1,2,1,2,1,2,4,3,1,1,0,0,2,1,1,0,2,1
1,4,2,30,1,1,1,9,640,5,2,,4,4,1,4,6,2,0,0,2,2,0,9,9,2,1,1
1,4,2,120,1,2,1,8,1000,14,2,,1,1,1,4,3,2,0,0,1,0,2,4,1,3,2,0
1,7,3,40,1,2,1,9,500,4,1,3,7,2,3,2,5,6,1,1,2,1,1,15,14,4,2,0
1,4,2,100,1,2,3,8,600,11,1,3,1,1,1,2,4,6,2,1,0,0,2,1,1,2,1,0
1,3,1,70,1,2,3,7,580,6,1,3,8,1,3,4,6,2,0,0,1,1,0,15,15,1,2,0
1,3,2,250,1,1,1,6,900,3,1,3,1,1,1,3,5,7,3,1,0,0,3,1,1,5,1,0
1,4,3,60,1,2,1,7,550,1,2,,3,1,1,4,6,2,0,0,2,2,1,3,7,2,1,1
1,3,2,130,1,2,1,6,1000,5,1,3,2,1,1,4,7,2,0,0,2,1,1,3,3,2,2,0
1,2,2,50,1,2,1,6,50,1,1,2,,1,6,4,4,,0,0,0,0,,,,1,1,0
1,4,2,300,1,2,1,7,1800,5,1,3,1,1,1,2,2,4,2,1,0,0,2,1,1,3,1,0
1,4,2,70,3,,1,8,1100,5,2,,,4,6,4,7,,0,0,1,1,,,,1,,0
1,3,2,90,1,1,1,7,250,5,1,3,1,1,1,4,3,3,0,0,0,0,3,1,1,4,1,1
1,3,2,100,3,,1,4,490,4,2,,,3,6,4,7,,0,0,1,1,,,,1,,0
1,3,2,60,1,1,1,5,1200,3,1,3,,2,5,4,3,,0,0,0,0,,,,3,2,0
1,4,2,50,1,2,1,10,1400,5,2,,,1,6,4,7,,0,0,1,1,,,,1,2,0
3,3,2,500,1,2,3,10,2,2,2,,8,3,3,4,6,2,0,0,1,1,1,15,15,1,1,0
1,3,2,300,1,2,1,7,2200,3,1,2,1,1,1,2,5,4,2,1,0,0,2,1,1,2,1,1
1,3,2,150,1,2,1,8,80,5,1,3,,1,6,4,7,,0,0,1,1,,,,1,2,0
1,4,2,300,1,2,1,7,700,5,1,3,5,1,2,4,6,3,0,0,1,0,2,10,10,1,2,0
1,2,1,30,3,,1,4,350,6,2,,,1,6,4,5,,0,0,1,1,,,,1,,0
1,4,2,150,1,2,1,6,40,5,1,3,,2,4,4,6,,0,0,1,0,,,,2,1,0
1,4,2,350,1,2,1,8,800,4,1,3,4,2,1,4,7,3,0,0,0,0,1,9,9,3,1,0
1,3,2,90,3,,1,5,900,1,1,3,,1,6,4,4,,0,0,0,0,,,,1,,0
1,2,2,190,1,2,1,4,50,6,2,,5,4,2,4,5,3,0,0,2,2,2,10,10,2,2,0
1,7,2,110,1,2,1,10,1400,4,1,3,1,1,1,4,7,4,0,0,1,0,3,1,1,5,1,0
1,3,2,50,1,2,1,4,1400,3,1,3,2,1,1,1,4,4,2,1,0,0,1,3,3,2,2,1
1,3,3,70,1,2,1,6,1,5,2,,,1,4,4,6,,0,0,1,1,,,,2,2,0
1,3,2,90,1,2,4,4,60,2,1,3,2,2,1,4,4,2,0,0,1,0,1,3,3,2,2,0
1,4,2,80,1,2,1,8,400,4,1,3,2,2,1,3,4,9,7,1,0,0,1,3,3,2,2,0
1,2,2,50,1,2,1,6,440,8,2,,,1,6,4,4,,0,0,1,1,,,,1,2,0
2,4,2,250,1,2,3,9,80,5,1,3,2,1,1,4,7,3,0,0,2,2,2,6,3,4,1,0
1,3,2,250,3,,1,5,120,3,2,,1,1,1,4,6,2,0,0,0,0,2,2,1,4,,0
1,3,2,90,1,1,1,5,500,3,1,3,2,1,1,3,3,4,2,1,0,0,2,4,3,2,1,0
1,2,2,50,1,2,3,4,300,1,1,3,1,1,1,4,3,2,0,0,0,0,2,2,1,3,1,0
1,3,2,260,1,2,1,4,200,3,2,,2,2,1,4,6,2,0,0,0,0,2,5,3,1,1,0
1,3,2,100,1,2,1,6,1500,2,1,3,3,1,1,4,7,2,0,0,2,0,2,5,7,2,1,0
1,3,2,170,1,2,8,6,1700,3,2,,4,2,1,4,7,5,0,0,2,2,1,9,9,0,2,0
1,2,2,40,1,2,1,5,1000,2,1,3,1,2,1,4,2,2,0,0,0,0,2,4,1,2,2,0
3,3,1,150,3,,3,5,2,16,2,,,1,5,4,2,,0,0,0,0,,,,3,,0
1,2,2,60,3,,1,4,110,10,2,,1,2,1,3,4,9,5,1,0,0,3,4,1,3,,0
2,2,2,100,1,2,1,4,2,2,1,3,,1,4,4,3,,0,0,0,0,,,,2,1,0
1,2,2,250,1,2,1,5,2400,2,1,3,1,1,1,4,5,3,0,0,0,0,3,4,1,5,1,1
1,4,2,150,1,1,3,7,50,3,1,3,1,1,1,2,5,4,2,1,0,0,3,4,1,3,2,0
1,1,3,110,1,2,3,2,1,5,1,3,,1,6,4,2,,0,0,0,0,,,,1,2,0
2,5,2,150,1,2,1,9,80,7,1,3,1,2,1,2,4,5,2,1,0,0,3,4,1,3,2,0
1,2,1,20,2,,1,5,1,5,2,,,1,6,4,5,,0,0,1,0,,,,1,,0
1,4,2,400,1,2,1,8,3000,13,1,3,,1,4,4,2,,0,0,0,0,,,,1,2,0
1,4,2,150,1,2,1,10,80,2,2,,8,1,3,4,3,2,0,0,1,0,1,15,15,2,2,0
1,2,3,200,3,,3,4,1,6,2,,,1,6,4,5,,0,0,1,1,,,,0,,0
1,1,3,40,1,2,3,5,140,6,1,3,,1,4,4,4,,0,0,0,0,,,,1,1,0
1,2,3,60,1,2,3,3,1,5,1,3,1,1,1,1,5,3,1,1,0,0,2,1,1,3,2,0
1,3,2,100,1,2,1,5,480,4,1,3,5,2,2,4,5,4,0,0,1,1,3,10,10,2,2,0
1,3,3,60,1,2,1,5,60,6,1,1,7,1,3,1,2,2,1,1,0,0,1,13,13,1,2,0
1,3,2,160,1,2,1,9,1200,1,1,2,1,2,1,2,6,4,1,1,0,0,2,1,1,4,2,0
1,2,2,280,1,2,1,4,1000,8,1,3,,2,7,4,1,,0,0,2,2,,,,1,1,0
1,2,3,60,1,2,3,4,130,6,1,3,,1,6,4,1,,0,0,0,0,,,,2,2,0
1,3,2,190,1,1,1,5,80,6,2,,1,1,1,4,4,2,0,0,0,0,2,2,1,2,1,0
1,3,2,60,1,2,1,4,200,3,1,3,1,2,1,2,3,3,1,1,0,0,2,1,4,2,2,0
1,2,1,30,1,2,1,3,40,5,2,,1,3,1,4,3,2,0,0,1,0,2,2,1,2,2,0
1,4,2,100,1,2,1,6,70,6,1,3,2,2,1,2,4,4,2,1,0,0,1,3,3,2,1,0
1,5,2,410,1,2,1,10,1400,5,1,2,1,1,1,2,5,4,2,1,0,0,2,1,1,2,2,1
1,5,2,80,1,2,1,8,480,3,1,2,,1,7,4,5,,0,0,0,0,,,,3,1,1
1,4,2,340,1,2,1,7,480,4,1,3,2,3,1,2,5,4,2,1,0,0,1,6,6,2,1,0
1,4,2,80,1,2,1,9,110,5,1,3,4,1,1,4,5,2,0,0,2,1,0,9,9,1,1,0
1,3,2,90,3,,3,5,310,1,1,3,8,1,3,4,7,3,0,0,1,1,0,15,15,1,,0
1,3,2,80,1,2,1,6,700,4,1,3,1,2,1,2,5,5,2,1,0,0,3,1,1,2,2,0
1,2,2,60,1,2,1,5,760,2,2,,,1,4,4,6,,0,0,1,1,,,,1,2,0
1,3,2,130,1,2,1,8,80,5,1,3,1,1,1,1,1,3,1,1,0,0,2,2,1,3,1,0
1,2,2,60,1,2,3,5,700,3,2,,,1,4,4,5,,0,0,1,0,,,,1,1,0
1,3,2,50,1,2,1,6,400,3,1,3,2,3,1,2,5,3,1,1,0,0,1,3,3,1,1,1
2,2,2,180,1,2,1,5,2400,1,1,3,7,2,3,4,4,3,0,0,0,0,2,13,13,0,2,0
1,3,2,60,1,1,1,6,870,6,1,3,,1,7,4,5,,0,0,2,2,,,,2,2,0
1,3,2,100,1,2,1,7,800,6,2,,4,1,1,4,6,2,0,0,2,2,0,9,9,2,2,0
2,4,2,4,1,2,1,7,2100,4,1,2,1,1,1,1,5,5,2,1,0,0,3,4,1,3,1,0
1,3,2,40,1,2,1,6,1000,1,2,,4,1,1,4,6,2,0,0,2,1,2,5,9,1,2,1
1,4,2,60,1,1,1,7,50,16,1,3,,3,5,4,3,,0,0,1,1,,,,4,1,0
1,2,3,60,3,,1,5,900,7,1,2,,1,4,4,5,,0,0,1,0,,,,1,,1
2,3,2,160,1,2,6,5,2,5,2,,7,1,3,4,6,2,0,0,0,0,1,15,14,4,2,0
1,5,2,110,3,,1,10,3000,7,1,3,3,1,1,4,6,2,0,0,2,1,1,8,7,3,,0
1,3,2,110,1,2,7,5,130,6,1,3,2,1,1,4,3,2,0,0,0,0,1,3,3,2,2,0
1,2,2,70,1,2,9,5,800,2,1,3,2,2,1,2,5,4,2,1,0,0,1,3,3,2,2,0
1,2,2,30,3,,1,6,280,2,2,,,1,6,4,7,,0,0,1,1,,,,0,,0
1,5,2,310,1,1,1,8,420,4,1,3,3,1,1,4,7,3,0,0,2,0,2,6,8,3,1,0
1,3,2,170,1,2,3,5,1900,3,1,3,1,2,1,1,4,4,2,1,0,0,2,4,1,2,2,0
1,3,2,50,3,,1,6,1200,2,2,,,1,4,4,7,,0,0,0,0,,,,1,,0
1,3,2,60,1,2,1,7,1200,3,1,3,1,1,1,4,4,2,0,0,0,0,2,5,1,3,1,0
1,3,2,110,1,2,1,7,420,6,1,3,2,1,1,4,3,2,0,0,0,0,2,4,3,2,1,1
3,3,2,150,1,2,6,7,2,7,2,,4,1,1,4,5,3,0,0,2,2,0,9,9,3,2,0
1,3,2,120,1,1,1,8,70,5,1,3,4,1,1,4,7,2,0,0,2,2,2,5,9,3,1,0
1,3,2,250,3,,3,6,410,4,1,3,,1,6,4,7,,0,0,1,1,,,,1,,0
1,1,3,2,1,2,1,2,1,3,2,,,3,4,4,4,,0,0,1,1,,,,1,2,0
3,4,2,200,1,2,3,8,2,3,1,3,2,1,1,4,7,2,0,0,2,2,1,6,3,5,1,0
1,4,2,150,1,2,1,8,120,6,1,3,1,1,1,1,5,6,2,1,0,0,3,1,1,4,1,0
1,3,2,50,1,1,1,8,100,3,1,3,,2,4,4,1,,0,0,0,0,,,,1,2,0
1,3,2,200,1,2,1,10,1100,3,1,3,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
2,4,2,60,1,1,1,8,100,6,1,3,4,2,1,2,5,7,2,1,2,1,3,9,9,2,1,0
1,3,2,90,1,2,1,5,1800,5,1,3,3,1,1,4,5,2,0,0,2,2,1,6,7,2,2,0
2,3,2,370,1,2,2,7,2,5,1,3,1,1,1,4,5,2,0,0,0,0,2,2,1,2,2,1
1,3,2,70,1,2,1,6,2200,3,1,2,3,1,1,3,3,6,3,1,0,0,2,7,7,2,2,0
1,3,2,140,1,2,1,6,800,3,2,,,2,6,4,3,,0,0,1,1,,,,1,2,0
1,0,3,50,1,2,1,1,1,4,1,3,,4,4,4,5,,0,0,1,1,,,,1,1,0
1,3,2,110,1,2,1,14,1300,11,1,3,2,1,1,4,1,2,0,0,0,0,1,7,3,2,1,1
1,2,2,100,1,1,1,6,100,3,1,3,3,3,1,4,5,2,0,0,1,1,1,8,8,2,1,0
1,3,2,100,1,2,1,7,600,3,2,,3,1,1,4,6,2,0,0,0,0,1,3,7,2,1,1
2,4,2,640,1,2,3,7,2000,10,1,3,1,4,1,1,2,4,2,1,0,0,2,1,1,3,2,0
1,3,2,80,1,2,1,5,1800,3,1,3,7,2,3,2,6,4,1,1,0,0,2,13,13,2,2,0
1,4,2,180,1,2,1,7,1200,5,1,3,2,1,1,3,4,4,2,1,0,0,2,4,3,2,2,0
1,2,2,70,1,2,1,5,120,8,2,,5,1,2,2,3,2,1,1,0,0,1,10,10,2,2,0
1,2,1,20,1,2,1,6,40,5,2,,4,1,1,4,6,3,0,0,2,2,0,9,9,1,1,0
2,2,1,60,1,2,3,5,2,5,2,,7,1,3,4,6,3,0,0,0,0,2,13,13,2,1,0
1,2,2,150,3,,1,5,1700,1,1,3,2,2,1,4,5,5,0,0,0,0,2,3,3,2,,0
1,2,3,170,1,1,1,5,1600,6,2,,,1,6,4,3,,0,0,1,1,,,,1,1,0
1,3,3,50,1,2,1,6,30,11,1,3,1,2,1,2,1,3,1,1,0,0,2,1,1,2,2,1
1,3,2,140,1,2,1,7,40,5,1,3,1,1,1,4,5,2,0,0,0,0,2,4,1,1,1,1
1,4,2,50,1,2,1,5,500,7,1,3,,4,4,4,5,,0,0,0,0,,,,1,1,1
1,4,2,100,1,2,1,8,1100,1,2,,1,4,1,4,6,3,0,0,2,0,3,2,1,2,1,1
1,2,2,110,1,2,1,4,600,7,1,3,4,1,1,4,6,2,0,0,2,1,0,9,9,2,1,0
1,3,2,60,1,2,1,7,150,5,1,2,4,1,1,4,7,2,0,0,2,2,2,2,9,2,2,1
1,4,2,180,1,2,1,7,960,10,2,,2,2,1,2,4,5,2,1,2,0,2,3,3,2,2,0
2,2,3,90,1,2,1,6,350,5,1,3,1,1,1,4,4,2,0,0,1,0,2,1,1,2,2,0
1,5,2,100,1,2,1,8,290,5,1,3,1,4,1,1,3,7,1,1,2,1,3,1,1,4,2,0
1,3,2,240,1,2,1,5,380,3,1,3,1,1,1,2,1,4,2,1,0,0,2,4,1,3,2,1
1,3,2,450,1,2,3,6,1200,3,1,3,1,2,1,1,5,4,1,1,0,0,2,1,1,4,1,0
1,4,2,250,1,2,1,7,710,3,1,3,7,3,3,4,7,2,0,0,1,1,2,13,13,2,1,0
1,3,3,120,1,2,3,5,360,6,1,3,1,1,1,4,3,2,0,0,0,0,2,1,1,0,2,1
2,4,2,400,1,2,1,10,2,7,2,,2,4,1,4,6,3,0,0,2,2,1,3,3,2,2,1
1,3,2,500,1,2,1,6,1300,4,1,3,1,1,1,2,3,4,2,1,0,0,2,1,1,2,2,0
1,4,2,150,1,2,1,7,1200,8,1,3,4,1,1,4,5,2,0,0,1,0,0,9,9,4,2,0
1,4,2,60,1,2,3,8,800,8,1,3,7,1,3,4,5,2,0,0,0,0,1,13,13,2,1,0
1,4,2,220,1,2,1,8,760,4,1,3,2,1,1,4,4,2,0,0,2,2,1,6,3,1,2,0
1,3,2,250,1,2,3,7,2900,1,1,2,1,1,1,4,6,3,0,0,2,1,2,4,1,2,2,1
1,4,2,150,1,2,1,6,2000,3,1,2,3,1,1,4,7,2,0,0,2,2,1,7,7,1,1,0
1,2,2,50,1,2,1,3,280,2,1,3,7,4,3,4,4,2,0,0,1,1,1,13,13,2,2,0
1,3,3,300,1,2,1,7,100,9,1,2,1,1,1,2,4,4,2,1,0,0,2,2,1,2,1,1
1,4,2,310,1,2,1,8,480,4,2,,8,1,3,4,7,3,0,0,1,1,2,15,15,4,1,0
3,3,2,380,1,2,2,7,2,7,2,,4,1,1,4,5,2,0,0,2,0,0,9,9,1,2,0
1,4,2,300,1,2,3,6,1200,10,1,1,,2,4,4,3,,0,0,0,0,,,,2,2,0
1,2,3,90,1,2,1,5,550,8,1,3,1,4,1,4,3,2,0,0,0,0,2,1,1,3,1,1
1,3,2,60,1,2,1,6,600,4,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
2,4,2,20,1,2,2,7,2,8,1,1,1,1,1,2,5,4,2,1,0,0,2,4,1,3,1,1
3,5,2,120,1,2,2,9,2,8,1,3,1,1,1,4,5,4,0,0,1,0,3,2,1,4,2,1
1,1,2,50,1,2,1,4,600,1,1,3,1,4,1,4,5,4,0,0,0,0,2,7,4,4,2,0
1,4,2,80,1,2,1,8,520,3,1,2,1,4,1,2,5,4,2,1,0,0,2,1,1,6,2,1
1,4,2,130,1,2,1,7,80,3,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,2,2,0
3,4,2,230,1,2,2,6,2,4,1,3,,1,4,4,7,,0,0,1,0,,,,4,2,1
1,4,2,280,1,2,1,8,960,5,1,3,1,1,1,2,5,3,1,1,0,0,3,1,1,2,1,0
1,3,1,80,1,2,1,6,810,6,2,,2,2,1,4,3,2,0,0,2,2,0,9,6,2,1,0
1,4,2,90,1,2,1,8,1200,8,1,3,1,4,1,1,1,3,1,1,0,0,2,1,1,2,2,1
1,3,2,30,2,,1,8,1100,4,1,3,5,1,2,4,6,2,0,0,1,0,1,10,10,1,,0
1,4,2,60,3,,1,9,240,4,1,3,,1,6,4,7,,0,0,1,1,,,,2,,0
2,3,2,250,1,1,3,6,120,7,1,3,1,2,1,1,5,3,1,1,0,0,2,1,1,3,2,0
1,3,2,90,1,2,1,7,650,6,1,3,1,1,1,4,5,2,0,0,1,0,2,1,1,2,2,0
1,3,2,70,1,2,1,9,360,3,1,3,4,1,1,4,5,2,0,0,2,0,0,9,9,1,2,0
1,4,2,140,1,2,1,6,880,9,1,2,1,4,1,4,5,2,0,0,1,0,2,1,1,2,1,1
1,4,2,260,1,2,1,7,2300,4,2,,2,1,1,4,7,5,0,0,2,2,3,6,3,4,1,0
2,4,2,350,1,2,1,9,2,7,2,,4,2,1,4,5,2,0,0,1,0,1,6,9,2,2,0
1,3,2,2,1,2,1,7,500,7,1,3,,1,6,4,5,,0,0,1,1,,,,1,1,0
1,3,2,330,1,2,1,7,1700,6,1,3,2,2,1,4,6,2,0,0,1,1,1,3,3,2,1,0
1,2,2,2,1,2,9,4,50,2,1,3,1,1,1,2,7,6,2,1,0,0,3,1,1,2,1,0
1,3,3,80,1,1,1,5,1,6,1,1,1,5,1,4,5,4,0,0,1,0,3,4,1,4,1,0
1,4,2,180,1,2,3,5,960,7,1,3,1,4,1,2,5,3,1,1,0,0,2,2,1,5,1,0
1,3,2,160,1,2,1,6,1800,2,1,3,,1,4,4,4,,0,0,0,0,,,,3,1,0
1,3,2,100,1,2,1,8,20,5,1,2,1,2,1,4,2,2,0,0,1,1,1,3,2,2,1,1
1,4,2,300,2,,1,6,40,7,2,,,1,4,4,5,,0,0,0,0,,,,1,,1
1,4,2,50,1,1,1,6,30,5,2,,5,4,2,4,5,3,0,0,1,1,1,11,10,2,2,0
1,0,1,20,1,2,9,1,2,4,2,,4,4,1,2,5,4,2,1,1,0,0,9,9,1,2,0
1,3,2,60,1,2,7,4,1600,6,1,3,1,4,1,4,7,3,0,0,0,0,3,1,1,3,1,0
2,3,2,100,1,2,6,5,2,6,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,3,2,0
1,3,2,60,1,2,1,5,520,7,2,,4,1,1,4,5,2,0,0,2,2,0,9,9,2,1,0
1,5,2,250,1,2,1,8,3000,5,1,3,1,5,1,4,4,7,0,0,1,0,3,1,1,6,1,0
1,3,2,60,1,2,1,8,70,12,2,,2,2,1,3,4,5,3,1,0,0,1,3,3,2,2,0
1,3,2,60,1,1,1,4,1500,5,1,3,,3,4,4,5,,0,0,0,0,,,,1,1,0
1,3,2,90,3,,1,6,1400,4,1,3,,1,6,4,5,,0,0,0,0,,,,1,,0
1,4,2,300,1,2,1,14,400,8,1,2,1,1,1,2,5,4,2,1,0,0,2,2,1,4,1,1
1,4,2,70,1,2,1,9,300,7,1,3,,1,4,4,3,,0,0,0,0,,,,1,1,1
1,3,2,40,3,,3,5,80,6,2,,,1,4,4,7,,0,0,1,1,,,,1,,0
1,3,2,20,1,2,1,7,800,6,2,,2,1,1,4,6,2,0,0,1,0,1,3,3,2,2,0
1,4,2,80,1,2,1,8,1200,6,2,,6,2,2,4,6,3,0,0,1,1,1,12,12,3,1,0
1,4,2,250,1,2,3,6,100,3,1,2,1,1,1,4,5,2,0,0,0,0,2,2,1,2,1,0
1,3,2,50,1,2,1,6,80,6,1,3,8,1,3,4,4,3,0,0,2,1,2,15,15,2,2,0
2,4,2,370,1,2,1,8,1200,5,1,3,,2,7,4,5,,0,0,2,2,,,,3,2,0
1,2,2,150,3,,1,5,600,2,1,3,5,3,2,4,4,2,0,0,1,1,1,10,10,2,,0
1,3,2,110,1,2,1,8,120,6,1,3,2,1,1,4,4,2,0,0,2,2,1,8,6,3,2,0
1,3,2,100,3,,3,5,860,3,1,3,6,2,2,4,5,2,0,0,1,0,1,12,12,2,,0
2,3,2,100,1,2,1,7,500,5,1,2,3,1,1,4,6,2,0,0,1,1,1,3,7,4,2,0
